PREFIXE,OPERATEUR COMPLET
0105,Orange (France Télécom)
0124,Orange (France Télécom)
0130,Orange (France Télécom)
0134,Orange (France Télécom)
0139,Orange (France Télécom)
0140,Orange (France Télécom)
0141,Orange (France Télécom)
0142,Orange (France Télécom)
0143,Orange (France Télécom)
0144,Orange (France Télécom)
0145,Orange (France Télécom)
0146,Orange (France Télécom)
0147,Orange (France Télécom)
0148,Orange (France Télécom)
0148,Hub One
0149,Orange (France Télécom)
0149,Hub One
0150,Orange (France Télécom)
0153,Orange (France Télécom)
0155,Orange (France Télécom)
0156,Orange (France Télécom)
0157,Orange (France Télécom)
0158,Orange (France Télécom)
0159,RingCentral France
0159,REFA (inconnu dans les listes Arcep)
0159,Pure IP Limited
0159,Microsoft Ireland Operations Limited
0159,Inconnu
0159,Twilio Ireland Limited
0159,Zoom Voice Communications Inc.
0159,SFR
0160,Orange (France Télécom)
0161,Orange (France Télécom)
0162,Inconnu
0162,Bouygues Telecom
0162,RingCentral France
0162,SFR
0162,Free
0162,Orange (France Télécom)
0164,Orange (France Télécom)
0169,Orange (France Télécom)
0170,Orange (France Télécom)
0170,SFR
0170,Inconnu
0170,Hub One
0170,Free
0171,SFR
0172,Inconnu
0172,SFR
0172,Microsoft Ireland Operations Limited
0172,Free
0173,SFR
0173,Free
0173,Bouygues Telecom
0173,Inconnu
0174,Inconnu
0174,Free
0174,Hub One
0174,SFR
0174,Bouygues Telecom
0175,RingCentral France
0175,Twilio Ireland Limited
0175,Inconnu
0175,SFR
0176,Inconnu
0176,Free
0176,SFR
0176,Bouygues Telecom
0177,SFR
0177,Inconnu
0177,Free
0178,Inconnu
0178,Free
0178,SFR
0179,SFR
0179,Inconnu
0180,SFR
0180,Inconnu
0180,Free
0181,Inconnu
0181,Bouygues Telecom
0181,SFR
0182,Bouygues Telecom
0182,Orange (France Télécom)
0182,SFR
0182,Inconnu
0183,Orange (France Télécom)
0183,SFR
0183,Hub One
0183,Inconnu
0184,Inconnu
0184,SFR
0184,Bouygues Telecom
0185,SFR
0185,Orange (France Télécom)
0185,Inconnu
0186,Inconnu
0186,SFR
0186,Bouygues Telecom
0186,Orange (France Télécom)
0187,SFR
0187,Inconnu
0187,Orange (France Télécom)
0188,SFR
0188,Inconnu
0189,Zoom Voice Communications Inc.
0189,Inconnu
0189,SFR
0190,Orange (France Télécom)
0191,Orange (France Télécom)
0214,Orange (France Télécom)
0214,Inconnu
0214,SFR
0214,Free
0214,Twilio Ireland Limited
0214,Bouygues Telecom
0218,Free
0218,SFR
0218,Inconnu
0219,Inconnu
0219,SFR
0219,Twilio Ireland Limited
0220,Inconnu
0220,Bouygues Telecom
0221,Orange (France Télécom)
0221,SFR
0221,Inconnu
0222,Inconnu
0222,SFR
0222,Free
0223,Orange (France Télécom)
0227,Orange (France Télécom)
0228,Orange (France Télécom)
0229,Orange (France Télécom)
0230,SFR
0230,Bouygues Telecom
0230,Orange (France Télécom)
0230,Inconnu
0231,Orange (France Télécom)
0232,Orange (France Télécom)
0233,Orange (France Télécom)
0234,SFR
0234,Free
0234,Inconnu
0234,Bouygues Telecom
0235,Orange (France Télécom)
0236,Inconnu
0236,SFR
0236,Free
0237,Orange (France Télécom)
0238,Orange (France Télécom)
0240,Orange (France Télécom)
0241,Orange (France Télécom)
0242,Orange (France Télécom)
0242,SFR
0242,Inconnu
0243,Orange (France Télécom)
0244,Free
0244,SFR
0244,Inconnu
0245,Inconnu
0245,Bouygues Telecom
0245,Orange (France Télécom)
0245,SFR
0246,Hub One
0246,SFR
0246,Inconnu
0246,Orange (France Télécom)
0247,Orange (France Télécom)
0248,Orange (France Télécom)
0249,SFR
0249,Inconnu
0249,Orange (France Télécom)
0249,Bouygues Telecom
0250,Bouygues Telecom
0250,Inconnu
0250,SFR
0250,Free
0251,Orange (France Télécom)
0252,Hub One
0252,Inconnu
0252,SFR
0252,Orange (France Télécom)
0252,Bouygues Telecom
0253,Free
0253,Inconnu
0253,SFR
0254,Orange (France Télécom)
0255,Inconnu
0255,SFR
0255,Orange (France Télécom)
0256,Inconnu
0256,SFR
0256,Free
0257,Inconnu
0257,SFR
0257,Orange (France Télécom)
0258,Orange (France Télécom)
0258,Inconnu
0258,SFR
0258,Pure IP Limited
0259,RingCentral France
0259,Zoom Voice Communications Inc.
0259,Microsoft Ireland Operations Limited
0259,SFR
0259,Twilio Ireland Limited
0259,Inconnu
0261,Inconnu
0261,Bouygues Telecom
0261,Orange (France Télécom)
0261,SFR
0262,Inconnu
0262,Orange (France Télécom)
0263,SFR
0263,Inconnu
0269,Inconnu
0269,Orange (France Télécom)
0269,SFR
0270,Inconnu
0270,Bouygues Telecom
0270,Free
0270,SFR
0270,Orange (France Télécom)
0272,Bouygues Telecom
0272,Free
0272,SFR
0272,Inconnu
0276,SFR
0276,Free
0276,Inconnu
0276,Bouygues Telecom
0277,SFR
0277,Inconnu
0277,Free
0278,Orange (France Télécom)
0278,Bouygues Telecom
0278,Inconnu
0278,SFR
0279,Inconnu
0279,SFR
0279,Orange (France Télécom)
0279,RingCentral France
0285,Hub One
0285,Inconnu
0285,Orange (France Télécom)
0285,SFR
0290,Inconnu
0290,Bouygues Telecom
0290,Free
0290,SFR
0296,Orange (France Télécom)
0297,Orange (France Télécom)
0298,Orange (France Télécom)
0299,Orange (France Télécom)
0310,Inconnu
0310,SFR
0310,Free
0320,Orange (France Télécom)
0321,Orange (France Télécom)
0322,Orange (France Télécom)
0323,Orange (France Télécom)
0324,Orange (France Télécom)
0325,Orange (France Télécom)
0326,Orange (France Télécom)
0327,Orange (France Télécom)
0328,Orange (France Télécom)
0329,Orange (France Télécom)
0339,Orange (France Télécom)
0339,Twilio Ireland Limited
0339,Inconnu
0339,SFR
0340,Inconnu
0343,Inconnu
0344,Orange (France Télécom)
0345,Free
0345,SFR
0345,Inconnu
0345,Bouygues Telecom
0351,Bouygues Telecom
0351,Inconnu
0351,Free
0351,SFR
0352,Inconnu
0352,Orange (France Télécom)
0352,Bouygues Telecom
0353,Inconnu
0353,Orange (France Télécom)
0353,SFR
0353,Twilio Ireland Limited
0354,Bouygues Telecom
0354,Inconnu
0354,SFR
0354,Free
0355,SFR
0355,Inconnu
0355,Free
0356,Orange (France Télécom)
0356,Inconnu
0356,SFR
0357,Orange (France Télécom)
0357,Bouygues Telecom
0357,SFR
0357,Inconnu
0358,SFR
0358,Inconnu
0358,Free
0359,SFR
0359,Free
0359,Inconnu
0359,Bouygues Telecom
0360,Inconnu
0360,Bouygues Telecom
0360,SFR
0360,Free
0361,SFR
0361,Free
